kick_event,timestamp_ball,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol
kickEvent11,257.858820864,9,blue,10,yellow,0
kickEvent13,285.783773952,3,blue,10,yellow,0
kickEvent26,417.720903424,7,blue,10,yellow,0
kickEvent27,420.114043392,5,blue,10,yellow,0
kickEvent35,620.835208704,12,yellow,0,blue,0
kickEvent38,620.835208704,1,yellow,0,blue,0
kickEvent48,734.439573248,1,yellow,0,blue,0
kickEvent68,987.763952384,3,yellow,0,blue,1
kickEvent74,1445.710560000,5,yellow,0,blue,0
kickEvent76,1452.690585088,5,yellow,0,blue,1
kickEvent87,1644.793718016,8,yellow,0,blue,0
kickEvent105,1837.448945152,3,yellow,0,blue,0
kickEvent133,2383.191780096,8,yellow,3,blue,0
kickEvent136,2436.090271232,1,yellow,3,blue,1
kickEvent137,2492.921213440,1,blue,10,yellow,0
kickEvent139,2501.283982592,3,yellow,3,blue,1
kickEvent150,3093.191460608,6,blue,10,yellow,0
