kick_event,timestamp_ball,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol
kickEvent3,112.324476928,8,yellow,0,blue,0
kickEvent8,165.246518528,13,yellow,0,blue,0
kickEvent11,222.490410496,3,blue,6,yellow,0
kickEvent19,709.511010816,5,blue,6,yellow,0
kickEvent40,1111.508651264,13,yellow,0,blue,0
kickEvent42,1275.975555584,5,blue,6,yellow,0
kickEvent45,1297.124854528,0,yellow,0,blue,0
kickEvent52,1354.062310400,13,yellow,0,blue,0
kickEvent62,1921.276607488,6,blue,6,yellow,0
kickEvent71,2514.578162944,7,blue,6,yellow,0
kickEvent76,2514.578162944,7,blue,6,yellow,0
kickEvent84,2614.100345088,8,blue,6,yellow,0
kickEvent91,2643.951404800,4,blue,6,yellow,0
kickEvent100,2898.818279424,7,blue,6,yellow,0
kickEvent107,3079.663915264,2,yellow,0,blue,1
kickEvent110,3184.486816256,1,blue,6,yellow,0
kickEvent116,3651.587109376,1,blue,6,yellow,0
kickEvent123,3721.673427968,7,blue,6,yellow,0
