kick_event,timestamp_ball,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol
kickEvent0,42.969005824,4,yellow,0,blue,0
kickEvent3,111.785309184,6,blue,3,yellow,0
kickEvent11,428.274869248,10,yellow,0,blue,0
kickEvent13,453.532338944,10,yellow,0,blue,0
kickEvent13,503.787340544,10,yellow,0,blue,0
kickEvent21,525.978528000,3,blue,3,yellow,0
kickEvent24,727.604033536,10,yellow,0,blue,0
kickEvent25,732.721815808,3,blue,3,yellow,0
kickEvent29,803.978592768,5,blue,3,yellow,0
kickEvent30,947.692715008,1,blue,3,yellow,0
kickEvent32,960.197496576,4,blue,3,yellow,1
kickEvent38,1504.524064000,10,yellow,0,blue,0
kickEvent46,1686.197829888,8,blue,3,yellow,0
kickEvent56,1754.896814336,8,blue,3,yellow,1
kickEvent58,1879.884275200,8,blue,3,yellow,0
kickEvent66,2011.343655680,6,blue,3,yellow,0
kickEvent85,2221.845984512,6,yellow,0,blue,0
kickEvent91,2308.362525184,8,blue,3,yellow,0
kickEvent94,2336.583345920,9,blue,3,yellow,0
kickEvent94,2338.292453376,8,blue,3,yellow,1
