kick_event,timestamp_ball,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol
kickEvent7,120.691126016,2,yellow,0,blue,0
kickEvent8,126.892529152,5,yellow,0,blue,1
kickEvent11,193.252722432,6,yellow,0,blue,0
kickEvent13,229.810806272,5,yellow,0,blue,0
kickEvent15,246.778836736,6,yellow,0,blue,0
kickEvent18,298.775614208,6,yellow,0,blue,0
kickEvent20,315.350005760,7,yellow,0,blue,0
kickEvent25,459.741534720,10,yellow,0,blue,0
kickEvent28,487.750526464,2,yellow,0,blue,0
kickEvent32,585.425789952,6,yellow,0,blue,1
kickEvent36,638.870248704,6,yellow,0,blue,1
kickEvent41,705.910821632,6,yellow,0,blue,0
kickEvent44,736.396317696,1,yellow,0,blue,0
kickEvent46,743.296738816,1,yellow,0,blue,0
kickEvent56,947.772797184,2,yellow,0,blue,0
kickEvent60,1113.231471104,1,yellow,0,blue,1
kickEvent64,1172.406119680,6,yellow,0,blue,0
kickEvent66,1189.891611136,2,yellow,0,blue,1
kickEvent71,1330.048539136,2,yellow,0,blue,0
kickEvent73,1381.339544320,2,blue,0,yellow,0
kickEvent78,1468.749981184,2,yellow,0,blue,0
kickEvent81,1519.557844736,7,yellow,0,blue,0
kickEvent86,1919.745593344,6,yellow,0,blue,0
kickEvent89,1937.143067648,2,yellow,0,blue,0
kickEvent94,1973.798091520,6,yellow,0,blue,0
kickEvent94,1976.015528448,5,yellow,0,blue,0
kickEvent95,2035.346934784,12,yellow,0,blue,0
kickEvent98,2051.775576064,5,yellow,0,blue,1
kickEvent102,2109.688403200,12,yellow,0,blue,0
kickEvent104,2133.997272320,14,yellow,0,blue,0
kickEvent106,2159.903413760,12,yellow,0,blue,0
kickEvent116,2262.879816448,12,yellow,0,blue,0
kickEvent119,2303.370941696,1,yellow,0,blue,0
kickEvent125,2401.481954304,6,yellow,0,blue,0
kickEvent125,2402.206793472,7,yellow,0,blue,0
kickEvent127,2409.238998016,6,yellow,0,blue,0
kickEvent131,2446.878800128,6,yellow,0,blue,1
kickEvent135,2499.983857408,7,yellow,0,blue,0
kickEvent136,2509.412652288,2,yellow,0,blue,0
kickEvent138,2527.507892736,7,yellow,0,blue,0
kickEvent139,2548.570383872,7,yellow,0,blue,0
kickEvent143,2585.225091328,12,yellow,0,blue,0
kickEvent149,2638.827044096,2,yellow,0,blue,1
