kick_event,timestamp,timestamp_original,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol,ball_position_x,ball_position_y,ball_velocity_norm,ball_acceleration_norm,kicker_position_x,kicker_position_y,kicker_position_w,kicker_velocity_norm,goalkeeper_position_x,goalkeeper_position_y,goalkeeper_velocity_norm,num_blue_on_field,num_yellow_on_field,feat_dist_goal,feat_angle_goal,feat_visible_angle,feat_min_dist_opponent,feat_opponents_in_cone,feat_robot_orientation,feat_orientation_to_goal_diff
kickEvent0,85.799443712,85.799443712,4,blue,10,yellow,0,-3466.374,-2012.1028,649.155236589013,22809.0764961523,-3347.525,-1998.6091,2.8224008,604.269505817,-5831.2524,-327.73474,142.356234745829,11,11,3235.40080757297,141.544825167095,25.2771902877339,88.9966662014369,3,161.711653934347,-20.1668287672527
kickEvent1,136.742912768,136.742912768,9,blue,10,yellow,0,-3448.0566,2941.9053,792.518733662879,67313.4478193807,-3517.5134,3119.718,-2.0419326,1202.67821023819,-5830.7437,424.5972,19.9195331126904,11,11,3894.51176798474,-130.939866417194,17.7417288793123,992.24796054319,3,-116.994120030175,-13.9457463870188
kickEvent2,250.867057664,250.867057664,15,yellow,0,blue,0,3335.075,2286.5388,1711.42802943159,49475.1918484068,3403.3547,2223.6309,2.116907,1734.52198977428,5334.14,693.5742,214.892540028808,11,10,3511.42206798477,-40.6300040268555,22.6064280798488,1126.61243016876,2,121.289836721701,-161.919840748556
kickEvent3,1012.83931264,1012.83931264,1,blue,10,yellow,0,-3344.7195,-1780.3046,4977.47187563322,157314.915080972,-2944.5823,-952.39777,-2.6701665,1779.50938239353,-5865.6636,-511.25714,660.440136647107,9,10,3196.87331661131,146.159054865477,26.9268205065573,368.923499349567,1,-152.989271047219,-60.8516740873039
kickEvent4,1033.853915648,1033.853915648,5,blue,10,yellow,0,-1236.7942,-1779.6965,1191.85015127025,61879.1806219783,-1156.4814,-1932.5153,2.655157,159.008671234502,-5821.117,-128.3564,40.0483132157977,9,10,5084.82537805045,159.51259325352,18.8975357944882,164.162557959116,5,152.129290044617,7.38330320890299
kickEvent5,1440.610360576,1440.610360576,5,yellow,0,blue,0,768.970265,1766.17865,742.399013772083,52306.6107078269,860.63375,1806.2898,-2.73729285,1236.2691613845,5625.7056,344.51923,15.750223108827,9,11,5521.14653963921,-18.6564817055325,17.6052712104424,364.110610528794,3,-156.835327596337,138.178845890804
kickEvent6,2048.082433536,2048.082433536,15,blue,0,yellow,0,-4357.1455,2057.3408,476.129613399142,24801.3106660923,-4245.699,2083.1694,-3.1020613,534.298637035035,-4562.82,1655.3024,403.46270552164,10,9,2632.79738595945,-128.608519433844,25.7835374885791,240.062263013244,1,-177.735020280866,49.1265008470219
kickEvent7,2423.787446784,2423.787446784,14,blue,0,yellow,0,-1382.3734,1896.853,576.839459643342,22733.2988240664,-1302.5203,1978.9167,-1.4601395,773.726250291294,-5614.797,223.7424,25.2331507668948,9,8,4992.04634600246,-157.667863537271,19.020833942349,121.002215769547,4,-83.6598308503423,-74.0080326869284
kickEvent8,2577.703765504,2577.703765504,13,blue,0,yellow,1,-4506.862,592.96643,2995.83441728263,53837.3648684898,-4411.1016,2321.333,-1.8883325,764.447670038127,-6001.0337,-224.2191,1647.63835953875,9,9,1606.57096766714,-158.340603128551,303.383544108557,1624.10634783278,0,-108.193482567388,-50.1471205611631
kickEvent9,2732.82105984,2732.82105984,13,blue,0,yellow,0,-1248.4786,-941.91766,898.862658963824,28027.1723921994,-1143.865,-927.4797,-3.0909848,902.947092446808,-5610.518,58.801163,182.719953752362,10,9,4843.98229692036,168.787340140601,20.6832736219891,522.012835278706,2,-177.100383579089,-14.1122762803097
kickEvent10,2780.604189952,2780.604189952,9,yellow,10,blue,0,-68.1097175,1509.72525,1821.6618564531,178674.869506941,-177.027005,1791.25015,-0.48674482,491.474163912201,5819.393,60.86583,14.77125715096,10,8,6253.09730246583,-13.9713328764815,15.9208339660866,187.24323759386,5,-27.8884238858549,13.9170910093735
kickEvent11,2872.265312256,2872.265312256,8,blue,0,yellow,0,-1848.8453,2935.7637,1040.93446092695,28427.3071531215,-1932.14,2953.6084,-0.31517017,962.549206365497,-5647.7646,384.49658,146.906439631258,11,9,5084.36759544093,-144.731432445536,16.6149049593748,397.235375442948,3,-18.0579205694207,-126.673511876115
kickEvent12,3051.92467584,3051.92467584,13,blue,0,yellow,0,-4158.923,-530.9273,3873.96523551262,278655.424299553,-3613.145,-2077.0461,2.2388384,678.651525856208,-5633.2275,173.32442,1074.73799188067,10,9,1916.10237665274,163.913568080339,310.809244908064,810.476047395974,5,128.275991331822,35.6375767485169
kickEvent13,3261.541792,3261.541792,13,blue,0,yellow,0,-5384.976,1626.5981,2393.27639627472,137840.041873915,-5333.818,2519.4587,-1.9510205,1125.63685508834,-5888.865,279.7059,1941.84362252458,10,9,1738.98703258524,-110.711828926446,26.5651598696092,1288.88868180231,1,-111.785240393504,1.073411467058
kickEvent14,360.74670336,360.74670336,3,blue,0,yellow,0,3765.9878,-1941.9899,754.352659017821,56580.8490064265,3660.3816,-1874.305,-0.17152789,607.13005376885,5027.4736,-1221.2267,1457.03170171213,7,7,2960.09041778302,40.9998936874621,26.8247320058921,154.462078032959,1,-9.82782416578424,50.8277178532464
kickEvent15,763.49351424,763.49351424,2,yellow,10,blue,0,-3891.973,-756.89075,3135.57711708331,94441.8162145421,-3488.6924,-1990.0521,2.5216942,1856.62108686397,-5832.138,-26.557962,430.860917357661,6,7,2239.79049023889,160.249236289218,317.949239916667,366.139144667983,5,144.482434882619,15.766801406599
kickEvent16,779.068275712,779.068275712,11,blue,0,yellow,0,-530.4783,1477.880975,4999.88859305629,2895252.35551449,-725.219875,1519.9517,-0.4147191025,5051.56845947607,5609.6562,96.4359,481.704629606134,6,7,6695.61640202288,-12.7515407193939,14.9506792765751,1095.82745277967,2,-23.7616542567034,11.0101135373095
kickEvent17,1717.438508544,1717.438508544,14,blue,10,yellow,0,378.016585,-4110.86,2385.13735241771,794184.005483694,214.931675,-4184.58735,0.35729814,4133.53796459388,NaN,NaN,NaN,7,8,6964.61538479585,36.1747078474155,11.9787360655824,771.015554307334,5,20.4716754498744,15.7030323975411
kickEvent18,2252.49439232,2252.49439232,5,yellow,10,blue,1,-3166.9673,838.8713,395.422728120792,17226.1574010829,-3006.415,883.29016,-2.7058218,612.575670041301,-5824.534,188.47629,28.2270238828561,7,7,2954.61999878715,-163.505786578471,327.222960090512,865.259501919615,5,-155.032169254492,-8.4736173239793
kickEvent19,3680.67914624,3680.67914624,2,blue,0,yellow,1,-1357.4062,1023.5483,298.916130110588,20103.3017163066,-1305.4961,1108.1942,-2.0037177,643.298948175375,-5599.0615,180.99815,104.617532771017,6,7,4754.08543404842,-167.566949440965,20.981118395118,1156.94453354444,3,-114.80456754566,-52.7623818953049
kickEvent20,4517.240183808,4517.240183808,6,yellow,10,blue,0,2367.70595,612.958225,1074.7641382049,30207.8646432975,2058.83875,841.233225,-0.9264364,1157.46017656969,5818.85715,74.33299,21.6236091879055,6,8,3683.65007177128,-9.57855488198718,27.1315809371916,1539.12668150098,2,-53.0808957072937,43.5023408253066
